"","id","latitude","longitude","date","prcp","tavg","tmax","tmin"
"1","SAMARA",53.25,50.2165,NA,NA,NA,NA,NA
"2","RSM00028900",NA,NA,1936-01-01,0,-122,-82,-161
"3","RSM00028900",NA,NA,1936-01-02,2,-110,-63,-154
"4","RSM00028900",NA,NA,1936-01-03,10,-70,-49,-104
"5","RSM00028900",NA,NA,1936-01-04,0,-92,-54,-127
"6","RSM00028900",NA,NA,1936-01-05,3,-114,-76,-145
"7","RSM00028900",NA,NA,1936-01-06,11,-139,-99,-179
"8","RSM00028900",NA,NA,1936-01-07,0,-109,-54,-155
"9","RSM00028900",NA,NA,1936-01-08,0,-86,-32,-108
"10","RSM00028900",NA,NA,1936-01-09,0,-109,-79,-141
"11","RSM00028900",NA,NA,1936-01-10,0,-148,-110,-184
"12","RSM00028900",NA,NA,1936-01-11,28,-147,-105,-185
"13","RSM00028900",NA,NA,1936-01-12,54,-86,-75,-117
"14","RSM00028900",NA,NA,1936-01-13,3,-71,-61,-84
"15","RSM00028900",NA,NA,1936-01-14,5,-46,-34,-64
"16","RSM00028900",NA,NA,1936-01-15,6,-40,-24,-54
"17","RSM00028900",NA,NA,1936-01-16,24,-59,-44,-69
"18","RSM00028900",NA,NA,1936-01-17,0,-110,-58,-142
"19","RSM00028900",NA,NA,1936-01-18,2,-131,-110,-163
"20","RSM00028900",NA,NA,1936-01-19,0,-133,-115,-161
"21","RSM00028900",NA,NA,1936-01-20,0,-213,-154,-241
"22","RSM00028900",NA,NA,1936-01-21,0,-162,-129,-210
"23","RSM00028900",NA,NA,1936-01-22,0,-165,-149,-206
"24","RSM00028900",NA,NA,1936-01-23,3,-154,-139,-174
"25","RSM00028900",NA,NA,1936-01-24,7,-136,-107,-175
"26","RSM00028900",NA,NA,1936-01-25,6,-167,-119,-227
"27","RSM00028900",NA,NA,1936-01-26,3,-112,-99,-121
"28","RSM00028900",NA,NA,1936-01-27,15,-117,-99,-136
"29","RSM00028900",NA,NA,1936-01-28,6,-90,-70,-119
"30","RSM00028900",NA,NA,1936-01-29,12,-84,-74,-100
"31","RSM00028900",NA,NA,1936-01-30,33,-122,-84,-173
"32","RSM00028900",NA,NA,1936-01-31,0,-235,-164,-299
"33","RSM00028900",NA,NA,1936-02-01,0,-184,NA,-233
"34","RSM00028900",NA,NA,1936-02-02,0,-189,NA,-229
"35","RSM00028900",NA,NA,1936-02-03,0,-161,NA,-213
"36","RSM00028900",NA,NA,1936-02-04,0,-137,-95,-173
"37","RSM00028900",NA,NA,1936-02-05,0,-156,NA,-197
"38","RSM00028900",NA,NA,1936-02-06,0,-140,NA,-174
"39","RSM00028900",NA,NA,1936-02-07,0,-105,-73,-158
"40","RSM00028900",NA,NA,1936-02-08,3,-120,-89,-164
"41","RSM00028900",NA,NA,1936-02-09,0,-185,NA,-224
"42","RSM00028900",NA,NA,1936-02-10,8,-139,-98,-176
"43","RSM00028900",NA,NA,1936-02-11,0,-108,-35,-188
"44","RSM00028900",NA,NA,1936-02-12,0,-238,NA,-268
"45","RSM00028900",NA,NA,1936-02-13,2,-165,-84,-242
"46","RSM00028900",NA,NA,1936-02-14,10,-68,1,-143
"47","RSM00028900",NA,NA,1936-02-15,0,-138,-77,-175
"48","RSM00028900",NA,NA,1936-02-16,0,-167,NA,-198
"49","RSM00028900",NA,NA,1936-02-17,3,-180,NA,-227
"50","RSM00028900",NA,NA,1936-02-18,23,-130,-97,-167
"51","RSM00028900",NA,NA,1936-02-19,2,-184,NA,-271
"52","RSM00028900",NA,NA,1936-02-20,0,-131,-93,-173
"53","RSM00028900",NA,NA,1936-02-21,0,-147,NA,-168
"54","RSM00028900",NA,NA,1936-02-22,0,-152,NA,-184
"55","RSM00028900",NA,NA,1936-02-23,0,-139,NA,-171
"56","RSM00028900",NA,NA,1936-02-24,0,-151,NA,-183
"57","RSM00028900",NA,NA,1936-02-25,0,-155,NA,-195
"58","RSM00028900",NA,NA,1936-02-26,0,-142,NA,-188
"59","RSM00028900",NA,NA,1936-02-27,0,-132,-54,-183
"60","RSM00028900",NA,NA,1936-02-28,0,-159,NA,-199
"61","RSM00028900",NA,NA,1936-02-29,1,-112,-74,-171
"62","RSM00028900",NA,NA,1936-03-01,0,-76,-61,-87
"63","RSM00028900",NA,NA,1936-03-02,0,-106,-71,-134
"64","RSM00028900",NA,NA,1936-03-03,0,-140,-92,-182
"65","RSM00028900",NA,NA,1936-03-04,0,-140,-69,-197
"66","RSM00028900",NA,NA,1936-03-05,0,-102,-49,-153
"67","RSM00028900",NA,NA,1936-03-06,0,-91,-30,-144
"68","RSM00028900",NA,NA,1936-03-07,0,-71,-16,-127
"69","RSM00028900",NA,NA,1936-03-08,0,-31,-2,-79
"70","RSM00028900",NA,NA,1936-03-09,0,-95,-39,-144
"71","RSM00028900",NA,NA,1936-03-10,0,-93,-23,-149
"72","RSM00028900",NA,NA,1936-03-11,0,-103,-52,-149
"73","RSM00028900",NA,NA,1936-03-12,0,-112,-45,-163
"74","RSM00028900",NA,NA,1936-03-13,0,-104,-54,-157
"75","RSM00028900",NA,NA,1936-03-14,0,-70,-12,-120
"76","RSM00028900",NA,NA,1936-03-15,0,-95,-20,-140
"77","RSM00028900",NA,NA,1936-03-16,0,-108,-66,-151
"78","RSM00028900",NA,NA,1936-03-17,1,-107,-56,-181
"79","RSM00028900",NA,NA,1936-03-18,15,-52,-24,-85
"80","RSM00028900",NA,NA,1936-03-19,4,-44,-19,-63
"81","RSM00028900",NA,NA,1936-03-20,11,-11,27,-41
"82","RSM00028900",NA,NA,1936-03-21,2,-46,4,-63
"83","RSM00028900",NA,NA,1936-03-22,2,-61,-36,-87
"84","RSM00028900",NA,NA,1936-03-23,3,-35,13,-86
"85","RSM00028900",NA,NA,1936-03-24,5,-25,8,-69
"86","RSM00028900",NA,NA,1936-03-25,0,-92,-44,-142
"87","RSM00028900",NA,NA,1936-03-26,0,-110,-70,-150
"88","RSM00028900",NA,NA,1936-03-27,0,-120,-70,-159
"89","RSM00028900",NA,NA,1936-03-28,8,-141,-92,-192
"90","RSM00028900",NA,NA,1936-03-29,0,-90,-73,-110
"91","RSM00028900",NA,NA,1936-03-30,0,-70,-29,-105
"92","RSM00028900",NA,NA,1936-03-31,0,-64,-25,-98
"93","RSM00028900",NA,NA,1936-04-01,0,-52,9,-114
"94","RSM00028900",NA,NA,1936-04-02,0,-28,20,-78
"95","RSM00028900",NA,NA,1936-04-03,0,-32,5,-72
"96","RSM00028900",NA,NA,1936-04-04,0,-39,14,-94
"97","RSM00028900",NA,NA,1936-04-05,49,-17,8,-50
"98","RSM00028900",NA,NA,1936-04-06,161,3,15,-11
"99","RSM00028900",NA,NA,1936-04-07,10,-23,5,-48
"100","RSM00028900",NA,NA,1936-04-08,0,-45,12,-81
"101","RSM00028900",NA,NA,1936-04-09,23,-27,30,-88
"102","RSM00028900",NA,NA,1936-04-10,10,-6,22,-23
"103","RSM00028900",NA,NA,1936-04-11,0,-3,17,-26
