"","month","year","sum"
"1",3,1990,19.8
"2",3,1995,28.8
"3",3,2002,6.2
"4",3,2004,5.2
"5",3,2006,5.4
"6",3,2007,20.8
"7",3,2008,35.8
"8",3,2009,29
"9",4,1990,256.4
"10",4,1991,278
"11",4,1992,171.2
"12",4,1993,122.7
"13",4,1994,183.3
"14",4,1995,422.3
"15",4,1996,55.8
"16",4,1997,183.9
"17",4,1998,65.5
"18",4,1999,275.4
"19",4,2000,301.9
"20",4,2001,311
"21",4,2002,210.5
"22",4,2003,144.2
"23",4,2004,143.4
"24",4,2005,218.6
"25",4,2006,178.7
"26",4,2007,169.9
"27",4,2008,308.7
"28",4,2009,129.9
"29",4,2010,201.8
"30",4,2011,106
"31",4,2012,385.8
"32",4,2013,234.4
"33",5,1990,400.1
"34",5,1991,504.5
"35",5,1992,385.8
"36",5,1993,481.4
"37",5,1994,424.8
"38",5,1995,542.3
"39",5,1996,569.2
"40",5,1997,415.4
"41",5,1998,490.7
"42",5,1999,335.7
"43",5,2000,289.2
"44",5,2001,466.3
"45",5,2002,348.4
"46",5,2003,478.6
"47",5,2004,478.6
"48",5,2005,573.7
"49",5,2006,456.5
"50",5,2007,519.6
"51",5,2008,466.9
"52",5,2009,472.1
"53",5,2010,567.3
"54",5,2011,497.1
"55",5,2012,554.2
"56",5,2013,552
"57",6,1990,510.8
"58",6,1991,655
"59",6,1992,556.7
"60",6,1993,519.8
"61",6,1994,527.9
"62",6,1995,693.3
"63",6,1996,611.1
"64",6,1997,669.5
"65",6,1998,707
"66",6,1999,601.3
"67",6,2000,585.8
"68",6,2001,529.3
"69",6,2002,520.4
"70",6,2003,442.3
"71",6,2004,585.3
"72",6,2005,569.8
"73",6,2006,653
"74",6,2007,543.9
"75",6,2008,536.3
"76",6,2009,679.8
"77",6,2010,704
"78",6,2011,532.7
"79",6,2012,639.3
"80",6,2013,640.2
"81",7,1990,623.4
"82",7,1991,665.9
"83",7,1992,597.8
"84",7,1993,630.1
"85",7,1994,544.8
"86",7,1995,673.6
"87",7,1996,688
"88",7,1997,605.4
"89",7,1998,734.5
"90",7,1999,711.4
"91",7,2000,705.5
"92",7,2001,707.3
"93",7,2002,748.4
"94",7,2003,661.5
"95",7,2004,664.1
"96",7,2005,644.8
"97",7,2006,580.1
"98",7,2007,646.3
"99",7,2008,684.4
"100",7,2009,676
"101",7,2010,842
"102",7,2011,773.5
"103",7,2012,700.7
"104",8,1990,526
"105",8,1991,552.6
"106",8,1992,550.9
"107",8,1993,561.8
"108",8,1994,526.6
"109",8,1995,590.1
